LAMBDACYHALOTHRIN_LCY1_blanked,TIME[H]
0.0,0.0
0.0,0.24996416666666665
0.0,0.49995694444444444
0.0,0.7499522222222222
0.0,0.9999463888888889
0.0,1.2499366666666667
0.0,1.4999305555555555
0.0,1.7499227777777777
0.0,1.999915
0.0,2.2499108333333333
0.0,2.4999030555555555
0.0,2.749896666666667
0.0,2.9998899999999997
0.0,3.249881388888889
0.0,3.4998758333333333
0.0,3.7498680555555555
0.0,3.9998641666666668
0.0,4.249854444444445
0.0,4.499851111111111
0.0,4.749844444444444
0.0,4.999835
0.0,5.249827777777778
0.0,5.499820277777777
0.0,5.749814444444444
0.0,5.999806944444445
0.0,6.249803055555556
0.0,6.499793333333334
0.0,6.7497875
0.0,6.999779166666667
0.0,7.249771944444444
0.0,7.4997686111111115
0.0,7.749759722222222
0.0,7.999751388888889
0.0,8.249748611111112
0.0,8.499736944444445
0.0,8.749730277777777
0.0,8.999726944444445
0.0,9.249716388888888
0.0,9.499709722222223
0.0,9.749708055555555
0.0,9.999696666666667
0.0,10.249689722222223
0.0,10.499685833333332
0.0,10.749675833333333
0.0,10.999669166666667
0.0,11.24966472222222
0.0,11.499656944444444
0.0,11.74964861111111
0.0,11.999639722222222
0.0,12.24963361111111
0.0,12.499630555555555
0.0,12.749620833333333
0.0,12.99961361111111
0.0,13.249605833333334
0.0,13.499602222222222
0.0,13.7495925
0.0,13.999586944444443
0.0,14.249578333333334
0.0,14.499572777777777
0.0,14.749568333333334
0.0,14.999558333333335
0.0,15.24955138888889
0.0,15.499544444444444
0.0,15.749540277777777
0.0,15.999533333333334
0.0,16.249524444444443
0.0,16.499526111111113
0.0,16.74950972222222
0.0,16.999503333333333
0.0,17.24949638888889
0.0,17.499489444444443
0.0,17.749485
0.0,17.999476944444442
0.0,18.249468888888888
0.0,18.49946222222222
0.0,18.74945527777778
0.0,18.99944888888889
0.0,19.24944222222222
0.0,19.499437500000003
0.0,19.74942805555556
0.0,19.999421944444443
0.0,20.24941361111111
0.0,20.49940888888889
0.0,20.749400555555557
0.0,20.999398055555556
0.0,21.249388055555556
0.0,21.499383055555555
0.0,21.749375555555552
0.0,21.999372777777776
0.0,22.249363055555555
0.0,22.49935638888889
0.0,22.749349722222224
0.0,22.99934277777778
0.0,23.249340555555555
0.0,23.4993275
0.0,23.74932111111111
0.0,23.99931638888889
0.0,24.2493075
0.0,24.49930111111111
0.0,24.74929472222222
0.0,24.999288333333332
0.0,25.24928027777778
0.0,25.499276944444443
0.0,25.7492675
0.0,25.999260833333334
