LAMBDACYHALOTHRIN_LCY3,TIME[H]
0.0,0.0
0.0,0.24996361111111112
0.0,0.49995527777777776
0.0,0.7499525
0.0,0.9999425000000001
0.0,1.2499352777777777
0.0,1.4999297222222223
0.0,1.7499230555555556
0.0,1.9999158333333333
0.0,2.249912222222222
0.0,2.499902777777778
0.0,2.7498958333333334
0.0,2.9998899999999997
0.0,3.2498830555555553
0.0,3.499876388888889
0.0,3.749868333333333
0.0,3.9998652777777775
0.0,4.249856666666667
0.0,4.499849444444445
0.0,4.749842777777778
0.0,4.999836388888889
0.0,5.249828333333333
0.0,5.4998233333333335
0.0,5.749814444444444
0.0,5.999808888888889
0.0,6.249799166666667
0.0,6.499797500000001
0.0,6.749787222222222
0.0,6.9997799999999994
0.0,7.249773055555556
0.0,7.499768888888889
0.0,7.749759444444444
0.0,7.999753055555556
0.0,8.249745833333334
0.0,8.499743055555555
0.0,8.749732222222223
0.0,8.999725277777777
0.0,9.249720555555555
0.0,9.499715555555555
0.0,9.749706111111111
0.0,9.999699166666668
0.0,10.249691944444445
0.0,10.499687777777776
0.0,10.749678611111111
0.0,10.99967138888889
0.0,11.249666111111111
0.0,11.499658888888888
0.0,11.74965138888889
0.0,11.999645277777777
0.0,12.2496375
0.00036666666666665404,12.499631944444445
0.008133333333333298,12.749624722222222
0.0,12.999617777777779
0.0014999999999999736,13.249613333333333
0.0,13.49960361111111
0.0019666666666666444,13.749596666666667
0.0017666666666666941,13.999589444444444
0.002600000000000019,14.249583333333334
0.0017333333333333367,14.499578611111112
0.002933333333333371,14.749569722222223
0.004899999999999988,14.999563333333333
0.0014999999999999736,15.249559444444444
0.0029666666666667008,15.499553055555557
0.004766666666666669,15.749544166666666
0.002466666666666617,15.999536111111112
0.008099999999999996,16.24953361111111
0.0016333333333333755,16.499523611111112
0.004166666666666652,16.7495175
0.004133333333333322,16.999513333333333
0.005300000000000027,17.249505555555555
0.005933333333333346,17.499499999999998
0.0029333333333333156,17.74949611111111
0.008099999999999996,17.99948611111111
0.00626666666666667,18.24948277777778
0.01203333333333334,18.499475555555552
0.00466666666666668,18.749465555555556
0.010933333333333323,18.99946083333333
0.004600000000000021,19.2494525
0.008366666666666717,19.499444999999998
0.006566666666666637,19.74944027777778
0.005833333333333274,19.999433333333336
0.013733333333333292,20.249426944444448
0.0071666666666666545,20.499419166666666
0.005566666666666664,20.7494125
0.00789999999999999,20.99940722222222
0.006633333333333297,21.249401388888888
0.010666666666666685,21.499391666666668
0.009833333333333333,21.749388333333332
0.009699999999999959,21.999378888888888
0.0024000000000000132,22.249371944444444
0.004699999999999982,22.49936472222222
0.008266666666666672,22.749359166666668
0.0074666666666666215,22.999350555555555
0.012800000000000006,23.2493475
0.013233333333333375,23.499338333333334
0.008233333333333287,23.74933111111111
0.015933333333333327,23.99932861111111
0.011966666666666653,24.249319166666666
0.010099999999999942,24.49931472222222
0.00896666666666665,24.749306944444445
0.007266666666666616,24.999298055555556
0.007799999999999946,25.249293333333334
0.0068000000000000005,25.499284444444445
0.009433333333333294,25.749277777777777
