IMIDACLOPRIDANDLB_IMID2,IMIDACLOPRIDANDLB_IMID3,IMIDACLOPRIDANDLB_IMID5,IMIDACLOPRIDANDLB_IMID8,TIME[H]
0.06456666666666666,0.04256666666666667,0.02783333333333335,0.04693333333333333,0.0
0.07566666666666669,0.04603333333333334,0.03240000000000001,0.04463333333333333,0.2499638888888889
0.09333333333333332,0.0484333333333333,0.04009999999999997,0.0502333333333333,0.4999538888888889
0.11093333333333333,0.05173333333333335,0.048933333333333384,0.05016666666666672,0.7499463888888889
0.13003333333333328,0.0571,0.05423333333333337,0.05126666666666667,0.99994
0.15176666666666666,0.060533333333333314,0.06336666666666667,0.055199999999999985,1.2499347222222223
0.17320000000000002,0.06623333333333331,0.07223333333333332,0.05996666666666667,1.4999294444444444
0.1957666666666667,0.06993333333333333,0.0772,0.06353333333333332,1.7499219444444445
0.2246333333333333,0.07533333333333332,0.08593333333333329,0.0709333333333333,1.9999130555555555
0.2577666666666666,0.07896666666666668,0.08916666666666662,0.08033333333333328,2.2499066666666665
0.2943333333333333,0.08423333333333333,0.09573333333333336,0.09443333333333334,2.499899444444445
0.33109999999999995,0.08879999999999999,0.10476666666666667,0.11203333333333332,2.749893888888889
0.36900000000000005,0.09380000000000004,0.11346666666666665,0.13590000000000002,2.9998858333333334
0.4086,0.0974666666666667,0.12570000000000006,0.15959999999999996,3.2498802777777778
0.4446666666666667,0.10153333333333331,0.13656666666666673,0.18443333333333334,3.499871111111111
0.48150000000000004,0.10923333333333338,0.15383333333333332,0.2126,3.7498694444444447
0.5193333333333333,0.11539999999999997,0.17250000000000001,0.23956666666666662,3.999859166666667
0.5570333333333335,0.12473333333333336,0.19266666666666665,0.26806666666666673,4.249853333333333
0.5942333333333331,0.1327666666666667,0.2136,0.2970666666666667,4.499845555555555
0.6333666666666666,0.14529999999999998,0.23253333333333326,0.3238333333333333,4.7498377777777785
0.6635666666666666,0.16173333333333328,0.2531,0.3531666666666667,4.999831944444445
0.7033999999999999,0.18076666666666674,0.27349999999999997,0.3817666666666668,5.249824722222222
0.733,0.2012,0.2917666666666667,0.4116666666666667,5.4998161111111115
0.7671000000000001,0.21993333333333331,0.3110666666666667,0.4422000000000001,5.749813333333334
0.8019666666666666,0.24203333333333332,0.3302666666666667,0.4705333333333334,5.999804166666666
0.8360666666666667,0.2622,0.3502333333333333,0.5002666666666666,6.249797500000001
0.8667333333333334,0.28213333333333335,0.36653333333333343,0.5303333333333332,6.499790833333333
