TIME[H],LambdaCyhalothrinANDLB_LCY4_blanked
0.0,0.0
0.2498961111111111,0.0
0.4998911111111111,0.0
0.7498866666666667,0.0
0.9998758333333333,0.0
1.2498694444444445,0.0
1.4998622222222222,0.0
1.7498566666666668,0.0
1.9998491666666667,0.0
2.249842777777778,0.0
2.499836111111111,0.0
2.749831388888889,0.0
2.999823611111111,0.010666666666666658
3.2498172222222226,0.03760000000000002
3.4998127777777777,0.06816666666666665
3.7498044444444445,0.1060666666666667
3.9997980555555555,0.1466
4.249793333333333,0.1858333333333333
4.499782222222223,0.2288666666666667
4.749778055555556,0.2633999999999999
4.999768055555556,0.30076666666666657
5.249761666666666,0.3371333333333333
5.499754166666667,0.3718666666666666
5.749747222222222,0.4023666666666667
5.999739999999999,0.4364666666666666
6.2497372222222225,0.47116666666666673
6.499726666666667,0.5000666666666667
6.749721111111111,0.5310999999999999
6.9997125,0.5606666666666668
7.249708611111111,0.5876333333333335
7.499700555555555,0.6211
7.749693055555555,0.6473333333333333
7.999686388888889,0.6730333333333334
8.249679444444444,0.6966333333333334
8.499675555555555,0.7229333333333334
8.749665833333333,0.7467333333333335
8.99965888888889,0.7682
9.249651666666667,0.7939333333333334
9.499645277777777,0.8089333333333335
9.749640833333334,0.8282666666666665
9.999631944444445,0.8532
10.249625277777778,0.8757999999999999
10.4996175,0.8918000000000001
10.749612777777777,0.9125666666666665
10.999607222222224,0.9320999999999999
11.24959777777778,0.9516333333333333
11.499590555555555,0.9678
11.749581944444445,0.9884999999999999
11.999579722222222,1.0008333333333332
12.249574166666665,1.0182666666666667
12.49956361111111,1.0335333333333334
12.74955638888889,1.0477333333333334
12.999550277777779,1.0638333333333334
13.2495425,1.0767333333333333
13.499537777777778,1.0885333333333331
13.749528333333334,1.1042333333333334
13.999524166666665,1.1125
14.249513888888888,1.1273666666666669
14.499509999999999,1.1355333333333333
14.749504444444444,1.1516000000000002
14.999496111111112,1.16
15.249488611111111,1.1667
15.499481944444446,1.1741
15.749476666666666,1.1820333333333333
15.999469722222223,1.1905333333333334
16.24946027777778,1.2042999999999997
16.49945222222222,1.2078333333333335
16.749445833333333,1.2112999999999998
16.99944138888889,1.2206333333333332
17.2494325,1.2225000000000001
17.499424444444443,1.2240999999999997
17.749419444444445,1.2320333333333333
17.999411388888888,1.2376666666666667
18.249405277777775,1.2412333333333332
18.499398055555556,1.2418333333333333
18.749391111111112,1.2466333333333335
18.999383611111114,1.2485333333333333
19.249378055555557,1.2522333333333333
19.499371388888886,1.2548
19.749367222222222,1.2552666666666665
19.999357500000002,1.2572
20.249350277777776,1.2610333333333337
20.49934277777778,1.262
20.749337222222223,1.2616666666666667
20.999330555555556,1.2628999999999997
21.2493225,1.2674333333333334
21.499316666666665,1.2637
21.74930888888889,1.2679666666666667
21.999303055555554,1.2662666666666667
22.249296944444442,1.2681666666666667
22.4992925,1.2698
22.749285277777776,1.2656333333333334
22.999275555555556,1.2676666666666667
23.249269166666668,1.2667666666666668
23.49926194444444,1.2635333333333334
23.749256666666664,1.2651666666666666
